yr,q (kg/s),P (bar)
1954,81.70740474,54.81159335
1955,269.9819629,52.64090121
1956,174.9139634,56.13794028
1957,496.9757159,50.56478371
1958,450.926338,50.04131451
1959,528.5787686,50.80092925
1960,807.6457857,47.10029077
1961,842.0903819,47.18079203
1962,799.7206766,44.89658544
1963,1217.364754,44.74853906
1964,1719.256776,36.23519949
1965,1789.933318,35.30091881
1966,1808.078059,36.82834442
1967,1524.255324,34.74221536
1968,1415.193261,35.71198068
1969,1270.390466,33.19091479
1970,1470.569736,34.25055007
1971,1258.126314,33.5621625
1972,1339.427595,30.07694833
1973,1325.877286,30.09126732
1974,1430.471136,33.1706167
1975,1180.504428,28.26547728
1976,1226.761199,35.3689208
1977,1122.691154,32.83546525
1978,1330.630469,30.3542137
1979,1313.972923,31.93365466
1980,1324.331918,30.1446255
1981,1257.813494,27.6075282
1982,1315.711721,34.06819302
1983,1276.262327,29.26018616
1984,1260.724185,28.98898939
1985,1209.711838,30.01432498
1986,1232.723935,28.60071045
1987,1179.709708,30.72395738
1988,1195.480308,27.39964708
1989,1183.146031,32.10622998
