yr,q (kg/yr)
1954,81.70740474
1955,269.9819629
1956,174.9139634
1957,496.9757159
1958,450.926338
1959,528.5787686
1960,807.6457857
1961,842.0903819
1962,799.7206766
1963,1217.364754
1964,1719.256776
1965,1789.933318
1966,1808.078059
1967,1524.255324
1968,1415.193261
1969,1270.390466
1970,1470.569736
1971,1258.126314
1972,1339.427595
1973,1325.877286
1974,1430.471136
1975,1180.504428
1976,1226.761199
1977,1122.691154
1978,1330.630469
1979,1313.972923
1980,1324.331918
1981,1257.813494
1982,1315.711721
1983,1276.262327
1984,1260.724185
1985,1209.711838
1986,1232.723935
1987,1179.709708
1988,1195.480308
1989,1183.146031
1990,1114.5796
1991,1278.439891
1992,1143.826031
1993,1066.919602
1994,1207.496841
1995,1279.351051
1996,1059.980742
1997,1079.315459
1998,1157.099332
1999,1343.036015
2000,1028.776999
2001,1152.433355
2002,865.094134
2003,1050.262625
2004,989.1502099
2005,957.612499
2006,959.6447962
2007,1032.300534
2008,896.8616935
2009,900.8897188
2010,826.9477218
2011,803.9569219
2012,704.5755989
2013,763.1197702
